id_szczytu,nazwa,lat,lon
RYSY,Rysy,49.17944,20.08806
BABIA_GORA,Babia Góra,49.57333,19.52944
SNIEZKA,Śnieżka,50.73611,15.73944
SNIEZNIK,Śnieżnik,50.20778,16.84444
TARNICA,Tarnica,49.11417,22.72639
TURBACZ,Turbacz,49.60778,20.11611
RADZIEJOWA,Radziejowa,49.44944,20.60444
SKRZYCZNE,Skrzyczne,49.68444,19.03
MOGIELICA,Mogielica,49.65944,20.24722
WYSOKA_KOPA,Wysoka Kopa,50.88806,15.36056
RUDAWIEC,Rudawiec,50.24778,16.93333
ORLICA,Orlica,50.31222,16.34972
WYSOKA_PIENINY,Wysoka (Pieniny),49.39417,20.42389
WIELKA_SOWA,Wielka Sowa,50.66417,16.51556
LACKOWA,Lackowa,49.43389,21.10306
KOWADLO,Kowadło,50.26389,16.93306
JAGODNA,Jagodna,50.25472,16.59389
SKALNIK,Skalnik,50.79611,15.89917
WALIGORA,Waligóra,50.70889,16.27806
CZUPEL,Czupel,49.7775,19.09278
SZCZELINIEC,Szczeliniec Wielki,50.48583,16.33917
LUBOMIR,Lubomir,49.78472,20.0425
BISKUPIA_KOPA,Biskupia Kopa,50.23722,17.14333
CHELMIEC,Chełmiec,50.79333,16.25778
KLODZKA_GORA,Kłodzka Góra,50.46639,16.52694
SKOPIEC,Skopiec,50.94222,15.88528
SLEZA,Ślęża,50.86444,16.70778
LYSICA,Łysica,50.89083,20.90083
